Date,FOMO,Uncertain,Hopeful,Bearish,Pessimistic/Doubtful,Sad,Fearful/Concerned,Angry,Mistrustful,Panicking,Annoyed/Frustrated,Bullish,Optimistic,Happy,Euphoric/Excited
2019-04-02,45.0,145.0,68.0,97.0,64.0,11.0,132.0,53.0,4.0,1.0,6.0,188.0,144.0,61.0,179.0
2019-04-03,49.0,175.0,60.0,89.0,75.0,17.0,155.0,59.0,14.0,4.0,4.0,166.0,193.0,55.0,181.0
2019-04-04,34.0,142.0,52.0,79.0,67.0,18.0,131.0,44.0,7.0,2.0,5.0,92.0,154.0,44.0,110.0
2019-04-05,25.0,113.0,43.0,41.0,55.0,10.0,124.0,34.0,15.0,2.0,2.0,70.0,157.0,38.0,114.0
2019-04-06,21.0,114.0,30.0,37.0,35.0,9.0,81.0,13.0,4.0,2.0,1.0,71.0,115.0,21.0,77.0
2019-04-07,7.0,108.0,35.0,28.0,46.0,10.0,99.0,24.0,5.0,2.0,4.0,49.0,120.0,17.0,92.0
2019-04-08,32.0,144.0,66.0,59.0,80.0,18.0,138.0,51.0,9.0,2.0,3.0,102.0,189.0,35.0,144.0
2019-04-09,26.0,132.0,41.0,45.0,42.0,11.0,114.0,33.0,5.0,2.0,6.0,70.0,134.0,37.0,136.0
2019-04-10,24.0,121.0,43.0,46.0,29.0,3.0,115.0,22.0,2.0,2.0,12.0,93.0,137.0,39.0,102.0
2019-04-11,19.0,113.0,39.0,65.0,45.0,13.0,91.0,26.0,4.0,3.0,6.0,65.0,118.0,27.0,85.0
2019-04-12,14.0,106.0,36.0,45.0,38.0,8.0,90.0,37.0,3.0,2.0,2.0,55.0,111.0,19.0,92.0
2019-04-13,10.0,82.0,33.0,23.0,25.0,8.0,74.0,33.0,5.0,1.0,3.0,37.0,105.0,19.0,68.0
2019-04-14,7.0,81.0,30.0,23.0,30.0,2.0,69.0,14.0,3.0,0.0,6.0,28.0,79.0,14.0,57.0
2019-04-15,14.0,78.0,30.0,35.0,34.0,5.0,93.0,21.0,2.0,0.0,7.0,57.0,119.0,24.0,91.0
2019-04-16,9.0,86.0,28.0,36.0,40.0,9.0,88.0,39.0,10.0,0.0,1.0,54.0,110.0,25.0,89.0
2019-04-17,8.0,107.0,37.0,35.0,57.0,3.0,75.0,26.0,5.0,0.0,4.0,39.0,100.0,29.0,98.0
2019-04-18,22.0,94.0,36.0,31.0,52.0,4.0,103.0,27.0,11.0,1.0,1.0,55.0,141.0,36.0,110.0
2019-04-19,17.0,99.0,33.0,23.0,54.0,10.0,88.0,21.0,11.0,2.0,2.0,62.0,119.0,29.0,89.0
2019-04-20,18.0,77.0,33.0,20.0,38.0,3.0,73.0,22.0,8.0,1.0,2.0,59.0,95.0,13.0,69.0
2019-04-21,12.0,88.0,42.0,29.0,34.0,9.0,78.0,21.0,10.0,2.0,2.0,47.0,114.0,20.0,83.0
2019-04-22,17.0,111.0,30.0,28.0,52.0,4.0,82.0,20.0,0.0,0.0,4.0,48.0,128.0,21.0,90.0
2019-04-23,31.0,144.0,52.0,58.0,65.0,7.0,151.0,48.0,8.0,2.0,6.0,120.0,160.0,37.0,149.0
2019-04-24,17.0,130.0,51.0,68.0,50.0,15.0,106.0,21.0,4.0,4.0,3.0,111.0,136.0,25.0,119.0
2019-04-25,23.0,133.0,52.0,56.0,69.0,5.0,130.0,48.0,4.0,2.0,10.0,74.0,168.0,35.0,140.0
2019-04-26,20.0,155.0,22.0,59.0,65.0,9.0,127.0,43.0,8.0,6.0,4.0,78.0,131.0,32.0,127.0
2019-04-27,11.0,110.0,49.0,32.0,42.0,6.0,71.0,21.0,1.0,2.0,3.0,39.0,80.0,19.0,94.0
2019-04-28,17.0,119.0,35.0,34.0,55.0,7.0,91.0,27.0,6.0,4.0,5.0,51.0,138.0,12.0,85.0
2019-04-29,11.0,73.0,28.0,37.0,49.0,6.0,94.0,24.0,7.0,1.0,3.0,45.0,98.0,21.0,66.0
2019-04-30,21.0,87.0,35.0,30.0,43.0,5.0,85.0,30.0,3.0,1.0,3.0,34.0,94.0,20.0,91.0
2019-05-01,23.0,100.0,43.0,38.0,49.0,5.0,83.0,30.0,6.0,3.0,3.0,43.0,115.0,17.0,89.0
2019-05-02,19.0,121.0,29.0,41.0,38.0,6.0,104.0,32.0,9.0,5.0,1.0,65.0,130.0,19.0,91.0
2019-05-03,27.0,154.0,46.0,43.0,71.0,7.0,124.0,31.0,10.0,1.0,4.0,101.0,131.0,33.0,126.0
2019-05-04,29.0,103.0,42.0,48.0,55.0,4.0,81.0,38.0,9.0,1.0,1.0,72.0,107.0,20.0,110.0
2019-05-05,21.0,126.0,29.0,44.0,41.0,7.0,93.0,37.0,15.0,3.0,3.0,69.0,148.0,17.0,85.0
2019-05-06,20.0,107.0,38.0,45.0,58.0,1.0,110.0,29.0,10.0,3.0,4.0,55.0,144.0,29.0,117.0
2019-05-07,30.0,152.0,48.0,64.0,52.0,5.0,111.0,36.0,11.0,1.0,4.0,97.0,120.0,39.0,114.0
2019-05-08,22.0,185.0,58.0,68.0,85.0,14.0,175.0,50.0,8.0,7.0,5.0,84.0,156.0,33.0,161.0
2019-05-09,38.0,166.0,69.0,89.0,65.0,5.0,143.0,49.0,13.0,3.0,4.0,113.0,171.0,38.0,173.0
2019-05-10,58.0,178.0,72.0,85.0,77.0,11.0,111.0,45.0,7.0,2.0,4.0,121.0,208.0,55.0,174.0
2019-05-11,76.0,193.0,85.0,100.0,80.0,13.0,128.0,60.0,11.0,5.0,3.0,188.0,175.0,54.0,211.0
2019-05-12,62.0,174.0,73.0,80.0,67.0,12.0,144.0,43.0,11.0,5.0,11.0,132.0,175.0,46.0,182.0
2019-05-13,81.0,257.0,93.0,101.0,84.0,19.0,222.0,58.0,6.0,5.0,12.0,192.0,269.0,64.0,211.0
2019-05-14,72.0,224.0,84.0,107.0,82.0,16.0,173.0,64.0,10.0,3.0,10.0,207.0,229.0,60.0,205.0
2019-05-15,53.0,193.0,69.0,71.0,64.0,17.0,213.0,43.0,15.0,5.0,3.0,151.0,192.0,48.0,153.0
2019-05-16,46.0,179.0,71.0,71.0,78.0,16.0,185.0,49.0,13.0,5.0,8.0,134.0,186.0,49.0,178.0
2019-05-17,37.0,154.0,50.0,75.0,54.0,14.0,148.0,51.0,9.0,4.0,4.0,112.0,146.0,34.0,134.0
2019-05-18,26.0,113.0,37.0,33.0,57.0,10.0,117.0,22.0,7.0,0.0,4.0,49.0,102.0,20.0,76.0
2019-05-19,29.0,138.0,58.0,45.0,64.0,10.0,134.0,19.0,10.0,7.0,7.0,81.0,160.0,32.0,115.0
2019-05-20,27.0,140.0,40.0,46.0,56.0,11.0,143.0,28.0,6.0,3.0,2.0,82.0,178.0,32.0,95.0
2019-05-21,20.0,149.0,56.0,31.0,61.0,11.0,177.0,48.0,7.0,3.0,4.0,79.0,181.0,41.0,158.0
2019-05-22,23.0,179.0,62.0,50.0,55.0,15.0,160.0,48.0,5.0,3.0,6.0,56.0,153.0,47.0,133.0
2019-05-23,29.0,153.0,52.0,40.0,57.0,16.0,148.0,40.0,11.0,3.0,4.0,54.0,155.0,37.0,209.0
2019-05-24,28.0,159.0,41.0,36.0,44.0,10.0,123.0,28.0,10.0,1.0,4.0,70.0,138.0,33.0,118.0
2019-05-25,17.0,130.0,41.0,26.0,62.0,6.0,155.0,27.0,10.0,2.0,3.0,49.0,115.0,28.0,89.0
2019-05-26,25.0,174.0,55.0,28.0,74.0,9.0,130.0,44.0,4.0,3.0,6.0,71.0,133.0,49.0,145.0
2019-05-27,47.0,154.0,66.0,56.0,68.0,16.0,126.0,36.0,8.0,0.0,3.0,117.0,217.0,44.0,141.0
2019-05-28,23.0,153.0,56.0,42.0,53.0,7.0,126.0,41.0,9.0,3.0,2.0,77.0,160.0,30.0,95.0
2019-05-29,34.0,153.0,66.0,51.0,64.0,12.0,157.0,44.0,17.0,6.0,8.0,71.0,179.0,35.0,127.0
2019-05-30,44.0,157.0,72.0,51.0,61.0,28.0,148.0,37.0,6.0,3.0,11.0,83.0,151.0,37.0,146.0
2019-05-31,32.0,148.0,54.0,77.0,55.0,8.0,155.0,41.0,13.0,4.0,6.0,87.0,174.0,36.0,117.0
2019-06-01,13.0,112.0,45.0,26.0,59.0,7.0,115.0,40.0,6.0,5.0,3.0,43.0,125.0,32.0,107.0
2019-06-02,22.0,132.0,34.0,33.0,63.0,6.0,121.0,25.0,5.0,2.0,6.0,64.0,168.0,32.0,109.0
2019-06-03,22.0,149.0,46.0,49.0,63.0,10.0,125.0,36.0,9.0,1.0,6.0,60.0,157.0,26.0,126.0
2019-06-04,21.0,146.0,61.0,62.0,66.0,9.0,143.0,43.0,14.0,6.0,4.0,83.0,141.0,41.0,142.0
2019-06-05,26.0,115.0,49.0,37.0,42.0,8.0,113.0,30.0,7.0,1.0,2.0,58.0,136.0,22.0,98.0
2019-06-06,28.0,175.0,51.0,43.0,73.0,7.0,134.0,56.0,9.0,2.0,6.0,60.0,166.0,38.0,114.0
2019-06-07,26.0,117.0,46.0,48.0,55.0,7.0,92.0,42.0,12.0,0.0,4.0,53.0,148.0,35.0,102.0
2019-06-08,9.0,92.0,21.0,21.0,34.0,6.0,66.0,17.0,5.0,3.0,1.0,45.0,99.0,20.0,71.0
2019-06-09,22.0,85.0,37.0,23.0,39.0,3.0,72.0,21.0,4.0,1.0,3.0,29.0,126.0,23.0,81.0
2019-06-10,27.0,93.0,45.0,31.0,53.0,6.0,85.0,19.0,2.0,1.0,3.0,53.0,128.0,31.0,82.0
2019-06-11,29.0,114.0,38.0,48.0,41.0,8.0,100.0,38.0,7.0,0.0,3.0,57.0,143.0,32.0,107.0
2019-06-12,32.0,136.0,39.0,32.0,53.0,12.0,108.0,25.0,13.0,1.0,1.0,73.0,142.0,26.0,120.0
2019-06-13,23.0,103.0,34.0,36.0,52.0,6.0,100.0,26.0,7.0,2.0,5.0,53.0,114.0,28.0,94.0
2019-06-14,26.0,143.0,65.0,48.0,59.0,14.0,108.0,47.0,8.0,1.0,7.0,71.0,147.0,23.0,118.0
2019-06-15,17.0,114.0,34.0,33.0,38.0,10.0,97.0,25.0,8.0,0.0,4.0,49.0,140.0,22.0,118.0
2019-06-16,31.0,115.0,45.0,37.0,52.0,11.0,95.0,37.0,6.0,1.0,1.0,95.0,178.0,41.0,188.0
2019-06-17,41.0,179.0,64.0,54.0,64.0,12.0,171.0,35.0,5.0,5.0,4.0,95.0,233.0,48.0,160.0
2019-06-18,44.0,174.0,68.0,44.0,86.0,10.0,148.0,52.0,13.0,8.0,8.0,93.0,244.0,43.0,173.0
2019-06-19,25.0,136.0,39.0,32.0,57.0,5.0,131.0,38.0,5.0,1.0,0.0,63.0,157.0,30.0,111.0
2019-06-20,31.0,124.0,41.0,52.0,56.0,7.0,96.0,37.0,4.0,3.0,2.0,98.0,148.0,28.0,144.0
2019-06-21,71.0,198.0,78.0,61.0,82.0,15.0,141.0,42.0,12.0,0.0,6.0,152.0,224.0,59.0,207.0
2019-06-22,111.0,260.0,96.0,121.0,70.0,20.0,172.0,73.0,8.0,5.0,5.0,208.0,268.0,110.0,243.0
2019-06-23,48.0,162.0,54.0,47.0,63.0,13.0,139.0,26.0,10.0,3.0,5.0,107.0,175.0,41.0,135.0
2019-06-24,50.0,191.0,76.0,60.0,78.0,12.0,145.0,43.0,17.0,3.0,12.0,112.0,227.0,41.0,161.0
2019-06-25,63.0,198.0,100.0,86.0,80.0,20.0,180.0,61.0,14.0,3.0,4.0,143.0,269.0,66.0,191.0
2019-06-26,227.0,432.0,170.0,232.0,142.0,40.0,296.0,144.0,20.0,11.0,13.0,344.0,410.0,131.0,416.0
2019-06-27,85.0,265.0,116.0,169.0,109.0,23.0,210.0,88.0,10.0,8.0,7.0,203.0,282.0,77.0,282.0
2019-06-28,50.0,219.0,77.0,62.0,90.0,19.0,172.0,62.0,12.0,8.0,9.0,116.0,245.0,47.0,171.0
2019-06-29,26.0,144.0,46.0,60.0,50.0,10.0,129.0,41.0,11.0,3.0,4.0,97.0,183.0,41.0,143.0
2019-06-30,32.0,144.0,51.0,51.0,47.0,9.0,110.0,32.0,8.0,2.0,6.0,80.0,162.0,30.0,104.0
2019-07-01,23.0,148.0,58.0,63.0,61.0,12.0,106.0,40.0,4.0,1.0,4.0,79.0,175.0,32.0,147.0
2019-07-02,34.0,166.0,69.0,54.0,71.0,10.0,119.0,37.0,6.0,1.0,5.0,87.0,195.0,35.0,149.0
2019-07-03,32.0,169.0,57.0,48.0,60.0,14.0,146.0,49.0,14.0,8.0,4.0,89.0,177.0,44.0,132.0
2019-07-04,34.0,149.0,55.0,38.0,62.0,11.0,143.0,31.0,6.0,1.0,7.0,65.0,175.0,33.0,113.0
2019-07-05,22.0,115.0,50.0,47.0,50.0,12.0,120.0,41.0,6.0,7.0,7.0,62.0,168.0,28.0,95.0
2019-07-06,17.0,104.0,49.0,25.0,52.0,6.0,104.0,29.0,2.0,2.0,2.0,51.0,148.0,46.0,90.0
2019-07-07,28.0,152.0,57.0,36.0,58.0,15.0,129.0,38.0,7.0,5.0,3.0,53.0,190.0,33.0,131.0
2019-07-08,37.0,155.0,51.0,49.0,72.0,14.0,162.0,31.0,7.0,6.0,2.0,73.0,187.0,42.0,127.0
2019-07-09,50.0,213.0,77.0,66.0,81.0,8.0,164.0,61.0,11.0,5.0,3.0,106.0,236.0,42.0,147.0
2019-07-10,70.0,233.0,69.0,118.0,106.0,13.0,188.0,64.0,8.0,10.0,6.0,130.0,258.0,59.0,190.0
2019-07-11,24.0,180.0,66.0,91.0,71.0,10.0,155.0,52.0,13.0,1.0,4.0,111.0,221.0,38.0,158.0
2019-07-12,33.0,207.0,62.0,46.0,63.0,12.0,179.0,64.0,14.0,5.0,8.0,129.0,248.0,42.0,192.0
2019-07-13,17.0,109.0,38.0,44.0,52.0,9.0,107.0,41.0,11.0,1.0,5.0,47.0,117.0,33.0,95.0
2019-07-14,30.0,140.0,59.0,80.0,60.0,12.0,141.0,40.0,7.0,2.0,3.0,83.0,183.0,36.0,118.0
2019-07-15,33.0,170.0,68.0,83.0,75.0,6.0,158.0,46.0,15.0,5.0,5.0,105.0,177.0,37.0,127.0
2019-07-16,19.0,203.0,70.0,95.0,71.0,16.0,195.0,66.0,14.0,5.0,7.0,99.0,214.0,54.0,142.0
2019-07-17,27.0,187.0,77.0,73.0,74.0,9.0,179.0,42.0,14.0,4.0,5.0,94.0,228.0,43.0,152.0
2019-07-18,40.0,165.0,62.0,68.0,76.0,11.0,125.0,57.0,7.0,2.0,6.0,81.0,164.0,52.0,112.0
2019-07-19,34.0,170.0,54.0,30.0,63.0,14.0,164.0,29.0,6.0,5.0,4.0,62.0,188.0,37.0,148.0
2019-07-20,15.0,147.0,36.0,31.0,62.0,14.0,146.0,43.0,5.0,0.0,6.0,41.0,152.0,33.0,117.0
2019-07-21,17.0,152.0,40.0,24.0,64.0,13.0,152.0,31.0,11.0,2.0,5.0,58.0,152.0,26.0,129.0
2019-07-22,29.0,166.0,43.0,56.0,89.0,11.0,164.0,49.0,10.0,3.0,6.0,67.0,176.0,39.0,109.0
2019-07-23,23.0,121.0,34.0,39.0,61.0,8.0,147.0,19.0,10.0,3.0,2.0,58.0,157.0,48.0,99.0
2019-07-24,18.0,132.0,53.0,45.0,52.0,13.0,155.0,43.0,7.0,5.0,7.0,59.0,161.0,45.0,132.0
2019-07-25,14.0,117.0,37.0,24.0,50.0,7.0,141.0,23.0,10.0,1.0,6.0,51.0,160.0,33.0,94.0
2019-07-26,15.0,146.0,40.0,45.0,51.0,13.0,132.0,42.0,4.0,1.0,1.0,57.0,142.0,20.0,92.0
2019-07-27,22.0,105.0,39.0,44.0,41.0,7.0,109.0,25.0,15.0,0.0,2.0,51.0,100.0,30.0,82.0
2019-07-28,15.0,103.0,24.0,38.0,42.0,2.0,112.0,25.0,3.0,1.0,1.0,39.0,102.0,25.0,82.0
2019-07-29,13.0,123.0,40.0,43.0,42.0,9.0,143.0,30.0,6.0,0.0,1.0,46.0,140.0,27.0,98.0
2019-07-30,23.0,148.0,45.0,36.0,48.0,8.0,152.0,36.0,8.0,2.0,2.0,56.0,128.0,38.0,78.0
2019-07-31,21.0,148.0,60.0,34.0,63.0,10.0,116.0,30.0,14.0,0.0,5.0,69.0,156.0,35.0,105.0
2019-08-01,14.0,131.0,54.0,43.0,66.0,10.0,155.0,35.0,2.0,2.0,2.0,60.0,154.0,33.0,95.0
2019-08-02,17.0,142.0,53.0,46.0,70.0,3.0,190.0,41.0,4.0,3.0,4.0,68.0,152.0,44.0,90.0
2019-08-03,20.0,112.0,35.0,35.0,38.0,7.0,148.0,34.0,8.0,3.0,1.0,53.0,142.0,28.0,81.0
2019-08-04,17.0,115.0,39.0,50.0,65.0,8.0,112.0,22.0,7.0,2.0,1.0,49.0,128.0,24.0,109.0
2019-08-05,37.0,145.0,53.0,56.0,68.0,10.0,148.0,48.0,8.0,3.0,10.0,108.0,189.0,57.0,155.0
2019-08-06,36.0,181.0,55.0,62.0,67.0,18.0,171.0,42.0,6.0,7.0,6.0,85.0,197.0,33.0,132.0
2019-08-07,30.0,155.0,61.0,54.0,79.0,14.0,210.0,31.0,12.0,1.0,6.0,69.0,221.0,41.0,137.0
2019-08-08,21.0,142.0,49.0,47.0,57.0,8.0,169.0,47.0,8.0,4.0,6.0,54.0,174.0,31.0,109.0
2019-08-09,36.0,170.0,44.0,77.0,68.0,11.0,166.0,39.0,11.0,2.0,6.0,113.0,188.0,44.0,140.0
2019-08-10,20.0,156.0,50.0,46.0,52.0,10.0,163.0,44.0,8.0,4.0,5.0,65.0,146.0,26.0,109.0
2019-08-11,11.0,129.0,43.0,21.0,69.0,4.0,153.0,37.0,10.0,1.0,6.0,63.0,139.0,39.0,110.0
2019-08-12,15.0,146.0,35.0,34.0,64.0,10.0,150.0,50.0,6.0,1.0,5.0,54.0,168.0,46.0,94.0
2019-08-13,22.0,154.0,48.0,43.0,68.0,10.0,177.0,30.0,6.0,3.0,6.0,67.0,166.0,30.0,110.0
2019-08-14,14.0,150.0,53.0,69.0,75.0,10.0,144.0,46.0,8.0,4.0,5.0,84.0,163.0,27.0,120.0
2019-08-15,29.0,144.0,38.0,88.0,69.0,10.0,175.0,31.0,10.0,4.0,11.0,82.0,197.0,27.0,131.0
2019-08-16,23.0,123.0,34.0,29.0,71.0,7.0,138.0,31.0,9.0,3.0,2.0,59.0,142.0,30.0,99.0
2019-08-17,20.0,101.0,28.0,26.0,36.0,10.0,133.0,33.0,8.0,1.0,4.0,39.0,109.0,26.0,86.0
2019-08-18,13.0,105.0,31.0,24.0,55.0,7.0,119.0,29.0,9.0,2.0,1.0,41.0,136.0,28.0,96.0
2019-08-19,15.0,119.0,39.0,18.0,50.0,4.0,145.0,29.0,9.0,0.0,2.0,41.0,126.0,17.0,77.0
2019-08-20,14.0,121.0,31.0,34.0,55.0,8.0,155.0,26.0,14.0,2.0,3.0,55.0,126.0,20.0,83.0
2019-08-21,13.0,138.0,40.0,36.0,60.0,10.0,157.0,39.0,7.0,3.0,12.0,37.0,128.0,22.0,103.0
2019-08-22,13.0,138.0,39.0,29.0,44.0,12.0,135.0,33.0,5.0,1.0,3.0,29.0,114.0,27.0,92.0
2019-08-23,9.0,109.0,39.0,25.0,56.0,5.0,109.0,31.0,8.0,0.0,5.0,34.0,135.0,36.0,99.0
2019-08-24,14.0,85.0,40.0,13.0,43.0,9.0,109.0,25.0,4.0,0.0,1.0,43.0,111.0,21.0,70.0
2019-08-25,14.0,78.0,29.0,32.0,37.0,5.0,96.0,25.0,11.0,2.0,5.0,47.0,99.0,13.0,78.0
2019-08-26,16.0,97.0,32.0,44.0,43.0,6.0,127.0,30.0,4.0,1.0,6.0,45.0,107.0,26.0,98.0
2019-08-27,18.0,111.0,32.0,36.0,54.0,8.0,137.0,27.0,6.0,3.0,2.0,61.0,129.0,21.0,83.0
2019-08-28,23.0,122.0,54.0,55.0,61.0,11.0,137.0,27.0,4.0,6.0,2.0,42.0,131.0,31.0,95.0
2019-08-29,10.0,101.0,26.0,51.0,28.0,6.0,101.0,27.0,4.0,5.0,4.0,48.0,118.0,23.0,84.0
2019-08-30,17.0,102.0,39.0,32.0,38.0,9.0,104.0,24.0,3.0,0.0,2.0,51.0,112.0,20.0,87.0
2019-08-31,8.0,74.0,27.0,18.0,34.0,3.0,89.0,16.0,5.0,2.0,1.0,31.0,89.0,8.0,53.0
2019-09-01,13.0,83.0,23.0,31.0,44.0,5.0,101.0,12.0,4.0,1.0,3.0,33.0,84.0,20.0,71.0
2019-09-02,15.0,107.0,23.0,38.0,38.0,7.0,139.0,24.0,3.0,2.0,4.0,43.0,116.0,24.0,72.0
2019-09-03,21.0,97.0,33.0,35.0,45.0,8.0,139.0,22.0,5.0,1.0,3.0,50.0,150.0,27.0,94.0
2019-09-04,15.0,105.0,41.0,36.0,43.0,8.0,148.0,32.0,4.0,3.0,6.0,35.0,143.0,22.0,87.0
2019-09-05,12.0,87.0,40.0,40.0,48.0,5.0,107.0,24.0,7.0,2.0,3.0,52.0,120.0,22.0,83.0
2019-09-06,18.0,121.0,33.0,33.0,54.0,7.0,107.0,22.0,6.0,1.0,5.0,62.0,114.0,29.0,93.0
2019-09-07,10.0,90.0,26.0,26.0,34.0,5.0,103.0,21.0,4.0,3.0,3.0,40.0,109.0,14.0,73.0
2019-09-08,12.0,93.0,14.0,13.0,32.0,5.0,109.0,22.0,4.0,1.0,5.0,39.0,91.0,18.0,52.0
2019-09-09,13.0,91.0,28.0,23.0,37.0,6.0,116.0,19.0,4.0,0.0,2.0,37.0,95.0,10.0,61.0
2019-09-10,15.0,103.0,26.0,17.0,53.0,5.0,104.0,33.0,7.0,0.0,7.0,39.0,107.0,26.0,69.0
2019-09-11,19.0,117.0,30.0,28.0,57.0,7.0,138.0,32.0,7.0,0.0,4.0,35.0,97.0,13.0,90.0
2019-09-12,9.0,88.0,28.0,25.0,37.0,6.0,115.0,31.0,4.0,0.0,0.0,43.0,95.0,20.0,78.0
2019-09-13,16.0,94.0,26.0,24.0,40.0,8.0,115.0,32.0,9.0,1.0,4.0,28.0,106.0,21.0,68.0
