,DATE,MODEL,SOURCE,COIN,ShortWindow,LongWindow,ACCURACY,Recall 1,Recall -1
0,05:32.1,LogisticRegression,WSJ,ETH-USD,5,100,0.53,0.523364486,0.537634409
1,05:32.2,SVC Model,WSJ,ETH-USD,5,100,0.53,0.560747664,0.494623656
2,05:32.5,AdaBoost Model,WSJ,ETH-USD,5,100,0.54,0.560747664,0.516129032
3,05:32.8,RandomForest Model,WSJ,ETH-USD,5,100,0.49,0.420560748,0.569892473
0,07:32.5,LogisticRegression,WSJ,ETH-USD,7,100,0.535,0.6,0.455555556
1,07:32.5,SVC Model,WSJ,ETH-USD,7,100,0.535,0.590909091,0.466666667
2,07:33.0,AdaBoost Model,WSJ,ETH-USD,7,100,0.5,0.536363636,0.455555556
3,07:33.5,RandomForest Model,WSJ,ETH-USD,7,100,0.53,0.518181818,0.544444444
0,08:50.2,LogisticRegression,WSJ,ETH-USD,10,100,0.475,0.490384615,0.458333333
1,08:50.3,SVC Model,WSJ,ETH-USD,10,100,0.475,0.576923077,0.364583333
2,08:50.7,AdaBoost Model,WSJ,ETH-USD,10,100,0.55,0.596153846,0.5
3,08:51.0,RandomForest Model,WSJ,ETH-USD,10,100,0.48,0.423076923,0.541666667
0,10:07.7,LogisticRegression,WSJ,BTC-USD,5,100,0.56,0.581818182,0.533333333
1,10:07.8,SVC Model,WSJ,BTC-USD,5,100,0.55,0.563636364,0.533333333
2,10:08.2,AdaBoost Model,WSJ,BTC-USD,5,100,0.455,0.381818182,0.544444444
3,10:08.4,RandomForest Model,WSJ,BTC-USD,5,100,0.485,0.390909091,0.6
0,11:55.1,LogisticRegression,WSJ,BTC-USD,7,100,0.515,0.576576577,0.438202247
1,11:55.1,SVC Model,WSJ,BTC-USD,7,100,0.515,0.648648649,0.348314607
2,11:55.5,AdaBoost Model,WSJ,BTC-USD,7,100,0.49,0.594594595,0.359550562
3,11:55.8,RandomForest Model,WSJ,BTC-USD,7,100,0.49,0.459459459,0.528089888
0,12:27.5,LogisticRegression,WSJ,BTC-USD,10,100,0.515,0.5,0.53125
1,12:27.5,SVC Model,WSJ,BTC-USD,10,100,0.54,0.586538462,0.489583333
2,12:28.1,AdaBoost Model,WSJ,BTC-USD,10,100,0.465,0.413461538,0.520833333
3,12:28.5,RandomForest Model,WSJ,BTC-USD,10,100,0.515,0.375,0.666666667